Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls_per90,Ast_per90,G-PK_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,Tkl_per90,TklW_per90,Int_per90,Clr_per90,Err_per90,Touches_per90,Tkld_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,GA_per90,Saves_per90,Save%_per90,CS_per90,PKA_per90,PKsv_per90,market_value_in_eur
1273,Emil Krafth,se SWE,DF,Newcastle Utd,eng Premier League,30.0,1994.0,4,2,242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0371900826446281,0.0,0.371900826446281,0.0,0.371900826446281,0.0,0.371900826446281,0.743801652892562,0.371900826446281,0.743801652892562,3.71900826446281,0.0,37.93388429752066,0.0,0.743801652892562,0.371900826446281,1.115702479338843,0.0,0.0,0.0,4.090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,2500000.0
1274,Alex Král,cz CZE,MF,Espanyol,es La Liga,26.0,1998.0,25,24,2193,0.0,0.04103967168262654,0.0,0.04103967168262654,0.0,0.036935704514363885,0.036935704514363885,0.06155950752393981,1.6415868673050615,2.7906976744186047,2.585499316005472,0.615595075239398,0.04103967168262654,0.4514363885088919,1.8878248974008207,1.231190150478796,0.9028727770177838,1.4363885088919288,0.0,38.74145006839945,0.8207934336525308,1.7236662106703147,0.9849521203830369,1.0259917920656634,0.0,0.0,0.0,4.186046511627907,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0
1275,Andrej Kramarić,hr CRO,"MF,FW",Hoffenheim,de Bundesliga,33.0,1991.0,23,23,1975,0.3189873417721519,0.22784810126582278,0.22784810126582278,0.13670886075949368,0.0,0.3554430379746835,0.2825316455696203,0.15037974683544303,2.643037974683544,5.058227848101265,6.926582278481013,2.141772151898734,0.6379746835443038,1.4582278481012658,0.36455696202531646,0.18227848101265823,0.13670886075949368,0.41012658227848103,0.04556962025316456,51.675949367088606,0.5924050632911392,1.6405063291139241,1.230379746835443,0.36455696202531646,0.0,0.0,0.0,4.055696202531646,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
1276,Frans Krätzig,de GER,"MF,FW",Heidenheim,de Bundesliga,22.0,2003.0,8,7,537,0.16759776536312848,0.16759776536312848,0.16759776536312848,0.0,0.0,0.08379888268156424,0.08379888268156424,0.11731843575418993,2.17877094972067,1.8435754189944134,4.5251396648044695,1.005586592178771,0.5027932960893855,1.8435754189944134,2.011173184357542,1.005586592178771,0.6703910614525139,0.8379888268156425,0.0,47.262569832402235,1.005586592178771,2.17877094972067,0.16759776536312848,0.6703910614525139,0.0,0.16759776536312848,0.0,3.35195530726257,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
1276,Frans Krätzig,de GER,DF,Stuttgart,de Bundesliga,22.0,2003.0,1,1,56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.214285714285714,3.214285714285714,0.0,0.0,0.0,3.214285714285714,1.607142857142857,0.0,1.607142857142857,0.0,77.14285714285714,0.0,1.607142857142857,0.0,1.607142857142857,0.0,0.0,0.0,4.821428571428571,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0
1277,Tom Krauß,de GER,MF,Bochum,de Bundesliga,23.0,2001.0,6,5,456,0.0,0.0,0.0,0.0,0.0,0.039473684210526314,0.039473684210526314,0.09868421052631579,1.776315789473684,7.697368421052632,0.9868421052631579,0.7894736842105263,0.19736842105263158,1.1842105263157894,3.9473684210526314,1.9736842105263157,0.7894736842105263,1.776315789473684,0.19736842105263158,59.60526315789473,1.381578947368421,2.3684210526315788,0.5921052631578947,1.1842105263157894,0.0,0.0,0.0,6.5131578947368425,0.0,0.0,0.0,0.0,0.0,0.0,4000000.0
1278,Ladislav Krejčí,cz CZE,DF,Girona,es La Liga,25.0,1999.0,17,16,1450,0.12413793103448274,0.0,0.12413793103448274,0.4344827586206897,0.0,0.08068965517241379,0.08068965517241379,0.0062068965517241385,1.3034482758620691,5.089655172413793,0.3103448275862069,0.6827586206896552,0.24827586206896549,0.24827586206896549,0.9931034482758619,0.6827586206896552,1.4896551724137932,3.2896551724137932,0.06206896551724137,92.79310344827586,0.18620689655172415,0.7448275862068966,0.3103448275862069,0.8068965517241379,0.06206896551724137,0.0,0.0,3.7241379310344827,0.0,0.0,0.0,0.0,0.0,0.0,
1279,Rasmus Kristensen,dk DEN,DF,Eint Frankfurt,de Bundesliga,27.0,1997.0,22,21,1885,0.04774535809018567,0.09549071618037135,0.04774535809018567,0.09549071618037135,0.0,0.038196286472148545,0.038196286472148545,0.10503978779840849,2.1485411140583555,6.588859416445624,5.395225464190982,0.6684350132625995,0.09549071618037135,0.6206896551724138,2.0053050397877983,1.0503978779840848,0.8116710875331565,3.1989389920424403,0.0,71.71352785145888,0.47745358090185674,1.2891246684350133,0.47745358090185674,0.8594164456233421,0.0,0.0,0.0,4.726790450928382,0.0,0.0,0.0,0.0,0.0,0.0,10000000.0
1280,Thomas Kristensen,dk DEN,DF,Udinese,it Serie A,23.0,2002.0,15,11,1082,0.0,0.0,0.0,0.24953789279112754,0.0,0.0,0.0,0.02495378927911275,0.9981515711645101,3.826247689463955,0.7486136783733826,0.0,0.0,0.24953789279112754,1.5804066543438078,1.1645101663585953,0.9981515711645101,3.826247689463955,0.0,59.30683918669131,0.08317929759704251,0.6654343807763401,0.24953789279112754,1.1645101663585953,0.0,0.08317929759704251,0.0,2.99445471349353,0.0,0.0,0.0,0.0,0.0,0.0,4500000.0
1281,Nikola Krstović,me MNE,FW,Lecce,it Serie A,24.0,2000.0,28,28,2327,0.3480876665234207,0.11602922217447356,0.3094112591319295,0.11602922217447356,0.0,0.3674258702191663,0.30554361839278044,0.08895573700042973,1.3149978513107003,1.8951439621830684,4.254404813064031,4.138375590889557,1.2763214439192092,0.7348517404383326,0.5414697034808766,0.23205844434894712,0.2707348517404383,0.812204555221315,0.0,31.52127202406532,1.2763214439192092,2.513966480446927,1.1216158143532446,1.6630855178341213,0.0,0.0,0.0,2.1658788139235066,0.0,0.0,0.0,0.0,0.0,0.0,6000000.0
