Id,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,Gls_per90,Ast_per90,G-PK_per90,CrdY_per90,CrdR_per90,xG_per90,npxG_per90,xAG_per90,PrgC_per90,PrgP_per90,PrgR_per90,Sh_per90,SoT_per90,KP_per90,Tkl_per90,TklW_per90,Int_per90,Clr_per90,Err_per90,Touches_per90,Tkld_per90,Mis_per90,Dis_per90,Fls_per90,PKwon_per90,PKcon_per90,OG_per90,Recov_per90,GA_per90,Saves_per90,Save%_per90,CS_per90,PKA_per90,PKsv_per90,market_value_in_eur,x,y
2481,Viti,es ESP,DF,Las Palmas,es La Liga,27.0,1997.0,20,14,1262,0.0,0.1426307448494453,0.0,0.3565768621236133,0.0,0.0071315372424722,0.0071315372424722,0.0641838351822504,1.8541996830427891,2.353407290015848,3.137876386687797,0.2139461172741679,0.1426307448494453,0.641838351822504,3.3518225039619653,2.282091917591125,1.4263074484944531,2.923930269413629,0.0,55.19809825673534,0.4278922345483359,1.3549920760697307,0.2852614896988906,1.4976228209191758,0.0,0.0,0.0,3.7083993660855783,0.0,0.0,0.0,0.0,0.0,0.0,,-0.6679710835546199,-0.7525640739782122
2482,Mattia Viti,it ITA,DF,Empoli,it Serie A,23.0,2002.0,21,21,1815,0.0,0.0,0.0,0.0495867768595041,0.0,0.0297520661157024,0.0297520661157024,0.0049586776859504,0.5454545454545454,3.0743801652892566,0.3471074380165289,0.4958677685950413,0.0495867768595041,0.0991735537190082,2.4297520661157024,1.7355371900826446,1.884297520661157,4.016528925619834,0.1487603305785124,53.950413223140494,0.0991735537190082,0.793388429752066,0.5950413223140496,0.8925619834710744,0.0,0.0,0.0,3.768595041322314,0.0,0.0,0.0,0.0,0.0,0.0,6500000.0,-1.1227741653712051,-0.49288133774565984
2483,Vitinha,pt POR,"FW,MF",Genoa,it Serie A,24.0,2000.0,18,11,946,0.0,0.1902748414376321,0.0,0.095137420718816,0.0,0.1046511627906977,0.1046511627906977,0.2568710359408034,2.0930232558139537,1.331923890063425,5.3276955602537,2.2832980972515857,0.1902748414376321,1.0465116279069768,1.427061310782241,0.4756871035940803,1.0465116279069768,1.427061310782241,0.0,37.674418604651166,3.0443974630021144,3.9957716701902752,2.3784355179704018,1.1416490486257929,0.0,0.0,0.0,3.7103594080338262,0.0,0.0,0.0,0.0,0.0,0.0,13000000.0,0.6359420411020419,-0.1737385144393071
2484,Vítor Machado Ferreira,pt POR,MF,Paris S-G,fr Ligue 1,25.0,2000.0,22,15,1528,0.2356020942408377,0.0589005235602094,0.1178010471204188,0.0589005235602094,0.0,0.1590314136125654,0.0647905759162303,0.100130890052356,2.2971204188481678,9.424083769633508,2.238219895287958,0.9424083769633508,0.3534031413612565,1.1780104712041886,1.943717277486911,1.0013089005235605,0.5890052356020943,0.7657068062827226,0.1178010471204188,107.72905759162305,0.4712041884816754,1.4725130890052356,0.8246073298429318,0.2356020942408377,0.0,0.0,0.0,6.06675392670157,0.0,0.0,0.0,0.0,0.0,0.0,55000000.0,0.46656543566033254,-1.2470177049420224
2485,Daniel Vivian,es ESP,DF,Athletic Club,es La Liga,25.0,1999.0,23,21,1945,0.1388174807197943,0.0,0.1388174807197943,0.0925449871465295,0.0,0.0694087403598971,0.0694087403598971,0.0138817480719794,1.3881748071979434,6.154241645244216,0.2776349614395887,0.6015424164524421,0.1850899742930591,0.416452442159383,1.5269922879177376,0.9717223650385604,1.4344473007712082,4.5347043701799485,0.0,70.79691516709512,0.2313624678663239,0.6940874035989717,0.4627249357326478,1.0642673521850898,0.0,0.0,0.0,6.10796915167095,0.0,0.0,0.0,0.0,0.0,0.0,40000000.0,-0.4810821355188272,-0.7731876064136459
2486,Dušan Vlahović,rs SRB,FW,Juventus,it Serie A,25.0,2000.0,22,17,1478,0.5480378890392422,0.060893098782138,0.3044654939106901,0.182679296346414,0.0,0.6576454668470907,0.4688768606224628,0.0548037889039242,1.2178619756427604,1.0351826792963463,5.297699594046008,3.531799729364005,1.1569688768606226,0.6698240866035183,0.121786197564276,0.060893098782138,0.060893098782138,0.4871447902571042,0.182679296346414,26.975642760487144,0.7307171853856562,2.3748308525033828,0.9742895805142084,1.2787550744248986,0.0,0.0,0.0,1.5832205683355889,0.0,0.0,0.0,0.0,0.0,0.0,60000000.0,1.985896881921146,2.2276798850201884
2487,Vanja Vlahović,rs SRB,"FW,MF",Atalanta,it Serie A,20.0,2004.0,3,0,60,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.15,0.0,0.0,7.5,1.5,1.5,3.0,1.5,1.5,0.0,0.0,0.0,27.0,1.5,9.0,1.5,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.3195426497049656,0.8541377144525527
2488,Nikola Vlašić,hr CRO,"MF,FW",Torino,it Serie A,27.0,1997.0,22,16,1499,0.1801200800533689,0.1801200800533689,0.1200800533689126,0.0,0.0,0.1200800533689126,0.0720480320213475,0.1080720480320213,2.581721147431621,4.563042028018679,4.743162108072048,1.1407605070046698,0.4202801867911941,1.200800533689126,1.801200800533689,0.9006004002668445,0.4803202134756504,0.7204803202134757,0.0,42.38825883922616,0.9006004002668445,1.861240827218145,1.200800533689126,1.1407605070046698,0.0,0.0,0.0,4.0226817878585726,0.0,0.0,0.0,0.0,0.0,0.0,7000000.0,0.40039401791576645,-0.14839970645888678
2489,Alessandro Vogliacco,it ITA,DF,Genoa,it Serie A,26.0,1998.0,12,8,715,0.2517482517482518,0.0,0.2517482517482518,0.3776223776223776,0.0,0.1636363636363636,0.1636363636363636,0.0,1.132867132867133,3.2727272727272725,0.2517482517482518,0.6293706293706294,0.2517482517482518,0.1258741258741259,1.888111888111888,0.3776223776223776,1.132867132867133,2.517482517482517,0.0,51.230769230769226,0.1258741258741259,0.2517482517482518,0.1258741258741259,1.5104895104895104,0.0,0.1258741258741259,0.0,2.517482517482517,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,-0.40721441615044746,0.3358007374815179
2489,Alessandro Vogliacco,it ITA,DF,Parma,it Serie A,26.0,1998.0,6,6,493,0.0,0.0,0.0,0.3651115618661257,0.0,0.0182555780933062,0.0182555780933062,0.0182555780933062,0.0,2.738336713995943,0.0,0.1825557809330628,0.1825557809330628,0.5476673427991886,0.3651115618661257,0.0,0.3651115618661257,3.833671399594321,0.0,64.44219066937119,0.0,0.5476673427991886,0.0,0.9127789046653144,0.0,0.0,0.1825557809330628,3.103448275862069,0.0,0.0,0.0,0.0,0.0,0.0,2000000.0,-1.4437170629427736,-0.3345582304277805
